id,plate,car_label,vehicle_id,event_status,out_date,expected_return_date,follow_date,actual_in_date,driver,liable_party,charge_to,garage,maintenance_type,service_main,service_sup,damage_location,severity,responsible,spare_part,invoice_no,cost,maintenance_notes,cost_notes
73250,"CC 21292","MERCEDES C260L - White - 2024 - CC 21292",1870,IN,2025-07-21,,2025-07-23,2025-07-23,,Maintenance,,RMR,"light issues",,,,,,,,,"headlight message check 
sensor behind center mirror has to repalce, waleed got 3 to check one working",
73251,"P 45237","NISSAN PATROL - White - 2025 - P 45237",1885,"Follow up",2025-06-28,,2025-08-23,,,Company,,"Najm ALAfaq garage",Accessories,,,,,,,,,"dashboard screen has issue 
they were waiting aprove from company to replace screen, now waiting new one from japan, asper abdullah it will take about one month to receive
still need about 20 days to revieve new screen 

in service thy told us that consol is broken not by theme, so car is out of warrenty 
*
najem al afaq garage to check car issue 

dashboard ECU checking",
73252,"C 40385","NISSAN PATROL - Black Tiffany - 2021 - C 40385",1824,Delay,2025-05-27,,2025-07-23,,,,,"AL TAKHASUS","Engine mechanical issue",,,,,,,,,"check engine light blinking, 
garage told us that car has engine issue, need to repalce engine, 
*
garage found low pressuer on cylender number 8, and the car need to change.
*
waleed told me that they will make decision today about checking for new engine or try to fix old one 
*
waleed told us that they are hecking for new engine on bying used one 
*
garage found new engine but will cost us about 18000
waleed found used engine with about 110 km 

waleed found new engine",
73253,"N 3741","MERCEDES GLC 300 - Green - 2022 - N 3741",1864,Change,2025-07-21,,2025-07-23,,,Maintenance,,"GPT GARRAGE","Rims scratch",,,,,,,,,"leakes checking, coolant replace 

GPT rims scratches with interior covers scratches",
73254,"X 94823","DODGE CHARGER DAYTONA - Orange Black - 2020 - X 94823",1748,OUT,2025-07-23,,2025-07-23,,,Customer,,"GPT GARRAGE","Front Lip",,,,,,,,,"front lip paint, fender cover repalce, starter wires checking, dashboard screen check",
73255,"X 81835","NISSAN PATROL - Black - 2019 - X 81835",1753,OUT,2025-07-23,,2025-07-23,,,Customer,,"GPT GARRAGE","Body Damage",,,,,,,,,"front bumper scratches with rear bumper screatches, doors scratches with rims, trunk adjust, grill fix",
73256,"T 90957","DODGE JOURNEY - Sliver - 2020 - T 90957",1814,Change,2025-07-24,,2025-07-24,,,"Periodic maintenance",,"PETRO MIN EPRESS","Oil & Fillter Change",,,,,,,,,"oil and filter change with engine flashing, in petromin in abo zabi,",
73257,"Z 96890","FORD ESCAPE - Grey - 2021 - Z 96890",1816,"Follow up",2025-07-18,,2025-07-24,,,Maintenance,,"ALTIQNIAH AL ALIAH","Engine mechanical issue",,,,,,,,,"check engine light with turbo issue checking 
*
after checking car, car is need new turbo, waleed got new one 

after checking tubro, car has to get new turbo, waleed got it

need to change the another turbo
*
al tiqaneah, car going ot altiqaneah to check turbo issue\
waleed got new turbo, old one will be on garage i repair, oil and filter change, changed turbo oil pipe , but car has problem with shutter sensor",
73258,"X 94823","DODGE CHARGER DAYTONA - Orange Black - 2020 - X 94823",1748,"Follow up",2025-07-23,,2025-07-24,,,Customer,,"GPT GARRAGE","Front Lip",,,,,,,,,"front lip paint, fender cover repalce, starter wires checking, dashboard screen check 

working on rims sanding, to paint, starter wire changed, tires bolts changed 8",
73259,"N 3741","MERCEDES GLC 300 - Green - 2022 - N 3741",1864,IN,2025-07-21,,2025-07-24,2025-07-24,,Maintenance,,"GPT GARRAGE","Rims scratch",,,,,,,,,"leakes checking, coolant replace 

GPT rims scratches with interior covers scratches",
73260,"Y 25873","FORD MUSTANG Conv - Grey Orange - 2019 - Y 25873",1780,OUT,2025-04-24,,2025-07-24,,,Maintenance,,"ROAD FORCE","Suspension Troubles",,,,,,,,,"tire pencher check",
73261,"N 12281","RANGE ROVER - SPORT - White - 2021 - N 12281",1897,OUT,2025-07-24,,2025-07-24,,,Repeated,,RMR,"Check Engine Light",,,,,,,,,"check engine light checking",
73262,"Y 25873","FORD MUSTANG Conv - Grey Orange - 2019 - Y 25873",1780,Change,2025-04-24,,2025-07-24,,,Maintenance,,"GPT GARRAGE","Body Damage",,,,,,,,,"tire pencher check 

GPT , front lip scratches, body and rims scratches 

frotn lip replaced from our, interiro boards painted \

rear left fender painted, with front lip",
73263,"Z 47194","RANGE ROVER VELAR - Blue - 2021 - Z 47194",1794,IN,2025-07-22,,2025-07-24,2025-07-24,,Customer,,"ROAD FORCE","Suspension Troubles",,,,,,,,,"body scratches ,driver seat covers, driver side mirror 
mirror is broken from inside
all rims sccratches, driver seat repair with passenger one,
waleed got new driver side mirror housing",
73264,"P 45237","NISSAN PATROL - White - 2025 - P 45237",1885,Change,2025-06-28,,2025-08-24,,,Company,,"AL Remal AL Thahabain gatage",Accessories,,,,,,,,,"dashboard screen has issue 
they were waiting aprove from company to replace screen, now waiting new one from japan, asper abdullah it will take about one month to receive
still need about 20 days to revieve new screen 

in service thy told us that consol is broken not by theme, so car is out of warrenty 
*
najem al afaq garage to check car issue 

dashboard ECU checking 

al remal garage, cuz najem al afaq could not fix car",
73265,"Y 25874","FORD MUSTANG - Grey Orange - 2021 - Y 25874",1778,OUT,2025-07-24,,2025-07-24,,,Customer,,"GPT GARRAGE","Body Damage",,,,,,,,,"front lip scratches, body and rims scratches, RR seatbelt checking 

3 rims painted, interior boards painted, front lip fixed and painted, right side running board fixed rear bumper fix",
73266,"T 91463","JAGUAR F PACE - Orange - 2020 - T 91463",1831,Change,2025-07-24,,2025-07-24,,,"Periodic maintenance",,"PETRO MIN EPRESS","Oil & Fillter Change",,,,,,,,,"oil and filter change",
73267,"Y 25882","CHEVROLET CAMARO - Black - 2022 - Y 25882",1789,Change,2025-07-23,,2025-07-24,,,Customer,,"FUTURE TYRES","Suspension Troubles",,,,,,,,,"car has accident by customer under insurance 

car went to al bihaira insurance to check 

waleed got new front bumper grill, will fix accident 
waleed got new frotn bumper grill
oil and filter changed, frotn bumper painted, trunk covers fixed,
ac filter changed 

future tire, alignment check",
73268,"Y 25882","CHEVROLET CAMARO - Black - 2022 - Y 25882",1789,IN,2025-07-23,,2025-07-24,2025-07-24,,Customer,,"FUTURE TYRES","Suspension Troubles",,,,,,,,,"car has accident by customer under insurance 

car went to al bihaira insurance to check 

waleed got new front bumper grill, will fix accident 
waleed got new frotn bumper grill
oil and filter changed, frotn bumper painted, trunk covers fixed,
ac filter changed 

future tire, alignment check",
73269,"H 64188","CHEVROLET IMPALA - Silver - 2019 - H 64188",1777,OUT,2025-07-24,,2025-07-24,,,Customer,,"GPT GARRAGE","Body Damage",,,,,,,,,"somde body scratches with rims, rear bumper scratches, frotn bumper scratches",
73270,"N 85805","NISSAN PATROL NISMO - Blue - 2019 - N 85805",1796,Change,2025-07-18,,2025-07-24,,,Garage,,"GPT GARRAGE","Body Damage",,,,,,,,,"extra fans relay replace, electrical wires check 

car is under test 
aftr testing car, it has problem by AC, car is going to ayan to check AC issue, car will be in garage to check it under sun shine 

car is under test by garage 
as per garage, car is working good , sometimes car has some heating but it's working well 

electrical thermostat has to replace, waleed got new one 

abdullah got new fan clutch from our, radiator will be flashing by garage , abdullah got new radiator 

GPT , rear bumper broken repair, by gaerage ayan",
73271,"CC 76986","FORD EXPLORER - White - 2021 - CC 76986",1871,OUT,2025-07-24,,2025-07-24,,,Repeated,,"Under Test","Electrical Problems",,,,,,,,,"out with abo maroof to al sharija to check key issue",
73272,"N 85805","NISSAN PATROL NISMO - Blue - 2019 - N 85805",1796,IN,2025-07-18,,2025-07-24,2025-07-24,,Garage,,"GPT GARRAGE","Body Damage",,,,,,,,,"extra fans relay replace, electrical wires check 

car is under test 
aftr testing car, it has problem by AC, car is going to ayan to check AC issue, car will be in garage to check it under sun shine 

car is under test by garage 
as per garage, car is working good , sometimes car has some heating but it's working well 

electrical thermostat has to replace, waleed got new one 

abdullah got new fan clutch from our, radiator will be flashing by garage , abdullah got new radiator 

GPT , rear bumper broken repair, by gaerage ayan",
73273,"CC 70610","FORD MUSTANG - Black - 2021 - CC 70610",1875,OUT,2025-07-24,,2025-07-24,,,Maintenance,,"AHMAD FOR WINDSHIELD","Body Damage",,,,,,,,,"roof leak check",
73274,"X 94823","DODGE CHARGER DAYTONA - Orange Black - 2020 - X 94823",1748,"Follow up",2025-07-23,,2025-07-25,,,Customer,,"GPT GARRAGE","Front Lip",,,,,,,,,"front lip paint, fender cover repalce, starter wires checking, dashboard screen check 

working on rims sanding, to paint, starter wire changed, tires bolts changed 8 

abdullah got new bolts with new frotn brakes",
73275,"CC 76986","FORD EXPLORER - White - 2021 - CC 76986",1871,OUT,2025-07-24,,2025-07-25,,,Repeated,,"NAIF TOWER","Electrical Problems",,,,,,,,,"out with abo maroof to al sharija to check key issue 

at naif tower checking car lock issue 
driver door fixed",
73276,"CC 70610","FORD MUSTANG - Black - 2021 - CC 70610",1875,OUT,2025-07-24,,2025-07-25,,,Maintenance,,"AHMAD FOR WINDSHIELD","Body Damage",,,,,,,,,"roof leak check, roof cover fix",
73277,"CC 70610","FORD MUSTANG - Black - 2021 - CC 70610",1875,Change,2025-07-24,,2025-07-25,,,Customer,,"GPT GARRAGE","Body Damage",,,,,,,,,"roof leak check, roof cover fix 

driver seat covers, paint, front lip replace, oil and filter change",
73278,"Y 25874","FORD MUSTANG - Grey Orange - 2021 - Y 25874",1778,IN,2025-07-24,,2025-07-25,2025-07-25,,Customer,,"GPT GARRAGE","Body Damage",,,,,,,,,"front lip scratches, body and rims scratches, RR seatbelt checking 

3 rims painted, interior boards painted, front lip fixed and painted, right side running board fixed rear bumper fix",
73279,"CC 43460","NISSAN PATROL - Black - 2025 - CC 43460",1879,OUT,2025-07-25,,2025-07-25,,,Customer,,"TIRE AND MORE","Tire Issues",,,,,,,,,"RR tire pencher, repair with valve fix",
73280,"C 39149","BMW X1 - Black - 2022 - C 39149",1815,OUT,2025-07-25,,2025-07-25,,,Customer,,"GPT GARRAGE","Body Damage",,,,,,,,,"rims scratches",
73281,"CC 43460","NISSAN PATROL - Black - 2025 - CC 43460",1879,IN,2025-07-25,,2025-07-25,2025-07-25,,Customer,,"TIRE AND MORE","Tire Issues",,,,,,,,,"RR tire pencher, repair with valve fix",
73282,"S 29880","LEXUS LC 500 - Grey - 2022 - S 29880",1892,OUT,2025-07-25,,2025-07-25,,,Customer,,"GPT GARRAGE","Body Damage",,,,,,,,,"small body scratches",
73283,"H 64188","CHEVROLET IMPALA - Silver - 2019 - H 64188",1777,"Follow up",2025-07-24,,2025-07-25,,,Customer,,"GPT GARRAGE","Body Damage",,,,,,,,,"somde body scratches with rims, rear bumper scratches, frotn bumper scratches 

front and rear bumper scratches, AC filter changed",
73284,"X 94823","DODGE CHARGER DAYTONA - Orange Black - 2020 - X 94823",1748,IN,2025-07-23,,2025-07-25,2025-07-25,,Customer,,"GPT GARRAGE","Front Lip",,,,,,,,,"front lip paint, fender cover repalce, starter wires checking, dashboard screen check 

working on rims sanding, to paint, starter wire changed, tires bolts changed 8 

abdullah got new bolts with new frotn brakes",
73285,"V 76188","JAGUAR F PACE - White - 2022 - V 76188",1829,OUT,2025-07-25,,2025-07-25,,,"Periodic maintenance",,"PETRO MIN EPRESS","Oil & Fillter Change",,,,,,,,,"oil and filter change",
73286,"Y 25873","FORD MUSTANG Conv - Grey Orange - 2019 - Y 25873",1780,IN,2025-07-25,,2025-07-25,2025-07-25,,Maintenance,,"GPT GARRAGE","Body Damage",,,,,,,,,"tire pencher check 

GPT , front lip scratches, body and rims scratches 

frotn lip replaced from our, interiro boards painted \

rear left fender painted, with front lip",
73287,"P 74880","PATROL QX80 GREY HAWK - Grey - 2019 - P 74880",1763,OUT,2025-07-25,,2025-07-25,,,Maintenance,,"GPT GARRAGE","Body Damage",,,,,,,,,"car has plate numbeer 45017 after selling car to customer, 
car has to left side windows frames paint",
73288,"V 76188","JAGUAR F PACE - White - 2022 - V 76188",1829,Change,2025-07-25,,2025-07-25,,,Customer,,"GPT GARRAGE","Body Damage",,,,,,,,,"oil and filter change 

GPT , rim scratch, right side mirror polishing",
73289,"V 76188","JAGUAR F PACE - White - 2022 - V 76188",1829,IN,2025-07-25,,2025-07-25,2025-07-25,,Customer,,"GPT GARRAGE","Body Damage",,,,,,,,,"oil and filter change 

GPT , rim scratch, right side mirror polishing",
73290,"CC 76986","FORD EXPLORER - White - 2021 - CC 76986",1871,"Under Test",2025-07-24,,2025-07-25,,,Repeated,,"Under Test","Electrical Problems",,,,,,,,,"out with abo maroof to al sharija to check key issue 

at naif tower checking car lock issue 
driver door fixed 

car is under test by maroof",
73291,"C 39149","BMW X1 - Black - 2022 - C 39149",1815,IN,2025-07-25,,2025-07-26,2025-07-26,,Customer,,"GPT GARRAGE","Body Damage",,,,,,,,,"rims scratches",
73292,"S 29880","LEXUS LC 500 - Grey - 2022 - S 29880",1892,"Follow up",2025-07-25,,2025-07-26,,,Customer,,"GPT GARRAGE","Body Damage",,,,,,,,,"small body scratches
front bumper painted , right side mirror scratches polished",
73293,"C 52604","BMW 430I - Black - 2021 - C 52604",1813,OUT,2025-07-26,,2025-07-26,,,Customer,,"GPT GARRAGE","Body Damage",,,,,,,,,"al rims scratches polishing",
73294,"CC 70610","FORD MUSTANG - Black - 2021 - CC 70610",1875,"Follow up",2025-07-24,,2025-07-26,,,Customer,,"GPT GARRAGE","Body Damage",,,,,,,,,"roof leak check, roof cover fix 

driver seat covers, paint, front lip replace, oil and filter change 

front bumper fixed, oil and filter changed, AC filter changed",
73295,"CC 76986","FORD EXPLORER - White - 2021 - CC 76986",1871,Change,2025-07-24,,2025-07-26,,,Repeated,,"Under Test","Electrical Problems",,,,,,,,,"out with abo maroof to al sharija to check key issue 

at naif tower checking car lock issue 
driver door fixed 

car is under test by maroof

all drums skimm, brakes service, brakes bleeding

GPT , oil and filter changed, driver door bottne fix",
73296,"X 94228","BMW X1 - Grey - 2021 - X 94228",1754,"Follow up",2025-07-23,,2025-07-26,,,Maintenance,,RMR,"Steering box issue",,,,,,,,,"car has alignment issue, after checking car has problem from boxsteering 

garage told us that they are checking for boxsteering",
73297,"S 29880","LEXUS LC 500 - Grey - 2022 - S 29880",1892,IN,2025-07-25,,2025-07-26,2025-07-26,,Customer,,"GPT GARRAGE","Body Damage",,,,,,,,,"small body scratches
front bumper painted , right side mirror scratches polished",
73298,"C 52604","BMW 430I - Black - 2021 - C 52604",1813,IN,2025-07-26,,2025-07-26,2025-07-26,,Customer,,"GPT GARRAGE","Body Damage",,,,,,,,,"al rims scratches polishing",
73299,"H 32470","MERCEDES C300 - Black - 2021 - H 32470",1847,OUT,2025-07-26,,2025-07-26,,,"periodic m & damage",,"GPT GARRAGE","Oil & Fillter Change",,,,,,,,,"oil and filter change, scratches 
front and rear bumper have to apint but today garage is not having any time",
73300,"P 76722","MINI COOPER - Blue Yellow Black - 2019 - P 76722",1731,OUT,2025-07-26,,2025-07-26,,,Maintenance,,"AL Rukn AL Mithali Used Parts","EVAP system",,,,,,,,,"car is having problem after adding fuel
canged engine valve",
73301,"K 20773","NISSAN PATROL - Brown - 2019 - K 20773",1835,OUT,2025-07-26,,2025-07-26,,,Maintenance,,"AL KASHKHA","Electrical Problems",,,,,,,,,"checked driver doo center lock but was working well",
73302,"K 20773","NISSAN PATROL - Brown - 2019 - K 20773",1835,"Follow up",2025-07-26,,2025-07-26,,,Customer,,"kasr al zaiton","Body Damage",,,,,,,,,"checked driver doo center lock but was working well

body scratches, rear bumper rims scratches body scratches, front lip, grill",
73303,"Z 96890","FORD ESCAPE - Grey - 2021 - Z 96890",1816,"Follow up",2025-07-18,,2025-07-26,,,Maintenance,,"ALTIQNIAH AL ALIAH","Engine mechanical issue",,,,,,,,,"check engine light with turbo issue checking 
*
after checking car, car is need new turbo, waleed got new one 

after checking tubro, car has to get new turbo, waleed got it

need to change the another turbo
*
al tiqaneah, car going ot altiqaneah to check turbo issue\
waleed got new turbo, old one will be on garage i repair, oil and filter change, changed turbo oil pipe , but car has problem with shutter sensor 

waleed got new shutter with electrical motor",
73304,"CC 76986","FORD EXPLORER - White - 2021 - CC 76986",1871,IN,2025-07-24,,2025-07-26,2025-07-26,,Repeated,,"Under Test","Electrical Problems",,,,,,,,,"out with abo maroof to al sharija to check key issue 

at naif tower checking car lock issue 
driver door fixed 

car is under test by maroof

all drums skimm, brakes service, brakes bleeding

GPT , oil and filter changed, driver door bottne fix",
73305,"H 32470","MERCEDES C300 - Black - 2021 - H 32470",1847,IN,2025-07-26,,2025-07-26,2025-07-26,,"periodic m & damage",,"GPT GARRAGE","Oil & Fillter Change",,,,,,,,,"oil and filter change, scratches 
front and rear bumper have to apint but today garage is not having any time",
73306,"CC 70610","FORD MUSTANG - Black - 2021 - CC 70610",1875,IN,2025-07-24,,2025-07-26,2025-07-26,,Customer,,"GPT GARRAGE","Body Damage",,,,,,,,,"roof leak check, roof cover fix 

driver seat covers, paint, front lip replace, oil and filter change 

front bumper fixed, oil and filter changed, AC filter changed",
73307,"X 81835","NISSAN PATROL - Black - 2019 - X 81835",1753,"Follow up",2025-07-23,,2025-07-26,,,Customer,,"GPT GARRAGE","Body Damage",,,,,,,,,"front bumper scratches with rear bumper screatches, doors scratches with rims, trunk adjust, grill fix 

polished full body car to check parts to paint, will make it agin",
73308,"P 76722","MINI COOPER - Blue Yellow Black - 2019 - P 76722",1731,IN,2025-07-26,,2025-07-26,2025-07-26,,Maintenance,,"AL Rukn AL Mithali Used Parts","EVAP system",,,,,,,,,"car is having problem after adding fuel
canged engine valve",
73309,"P 45237","NISSAN PATROL - White - 2025 - P 45237",1885,"Under Test",2025-06-28,,2025-07-26,,,Company,,"OFFICE PARKING",Accessories,,,,,,,,,"dashboard screen has issue 
they were waiting aprove from company to replace screen, now waiting new one from japan, asper abdullah it will take about one month to receive
still need about 20 days to revieve new screen 

in service thy told us that consol is broken not by theme, so car is out of warrenty 
*
najem al afaq garage to check car issue 

dashboard ECU checking 

al remal garage, cuz najem al afaq could not fix car 

ar is at the parking still has the same issue",
73310,"H 64188","CHEVROLET IMPALA - Silver - 2019 - H 64188",1777,IN,2025-07-24,,2025-07-26,2025-07-26,,Customer,,"GPT GARRAGE","Body Damage",,,,,,,,,"somde body scratches with rims, rear bumper scratches, frotn bumper scratches 

front and rear bumper scratches, AC filter changed",
73311,"P 74880","PATROL QX80 GREY HAWK - Grey - 2019 - P 74880",1763,"Follow up",2025-07-25,,2025-07-26,,,Maintenance,,"GPT GARRAGE","Body Damage",,,,,,,,,"car has plate numbeer 45017 after selling car to customer, 
car has to left side windows frames paint 

painted frames and it's ready at garage",
73312,"V 75354","CHEVROLET CAMARO - Orange Black - 2022 - V 75354",1823,"Follow up",2025-04-17,,2025-07-27,,,Maintenance,,"ALTIQNIAH AL ALIAH","Engine mechanical issue",,,,,,,,,"waleed told us that he found good new engine but has to paid the price soon
*
mr khotayba ask for update but waleed saide they did not find new one and searching for engine every day 
*
waleed still searching for new engine 
*
waleed found new engine with VIN number 1G1FB1RX0J0150775 
but car had abad accident with 85300km, waleed told me will check with garage to check engine 
*
waleed told me that engine will cost us about 4500 dirhams, waiting mony 
*
after checking car new engine, they found water leak from engine 
engine will be for 46287
*
waleed found new engine with VIN: 1G1FB1RX9J0101302
car has about 60k km ,
*
engine replaced, car insurance has to make, after that we can test car on road, but engine has missfire 
engine still has 5 days to check by warranty 

engine replaced, waleed got new one with VIN number: 1G1FB1RX3L0110452 engine has about 35k km,

working on installing it on car 
garage got new oil pressure sensor to repalce 
*
engine is owrking well, car has electrical groundiung, 

car has problem with oil pressure sensor from ECU, waleed got new one, working on programming it 

they could not program ECU,",
73313,"X 94228","BMW X1 - Grey - 2021 - X 94228",1754,"Follow up",2025-07-23,,2025-07-27,,,Maintenance,,RMR,"Steering box issue",,,,,,,,,"car has alignment issue, after checking car has problem from boxsteering 

garage told us that they are checking for boxsteering 

waleed got new boxsteering",
73314,"P 74880","PATROL QX80 GREY HAWK - Grey - 2019 - P 74880",1763,IN,2025-07-25,,2025-07-27,2025-07-27,,Maintenance,,"GPT GARRAGE","Body Damage",,,,,,,,,"car has plate numbeer 45017 after selling car to customer, 
car has to left side windows frames paint 

painted frames and it's ready at garage",
73315,"F 21099","CHEVROLET CAMARO - Yellow Black - 2019 - F 21099",,OUT,2025-07-27,,2025-07-27,,,Maintenance,,"AL Qattan Main W.Shop","Exhaust System Problems",,,,,,,,,"exhuast fix",
73316,"V 75354","CHEVROLET CAMARO - Orange Black - 2022 - V 75354",1823,Change,2025-04-17,,2025-07-27,,,Maintenance,,"WAHAT AL FURSAN","Engine mechanical issue",,,,,,,,,"waleed told us that he found good new engine but has to paid the price soon
*
mr khotayba ask for update but waleed saide they did not find new one and searching for engine every day 
*
waleed still searching for new engine 
*
waleed found new engine with VIN number 1G1FB1RX0J0150775 
but car had abad accident with 85300km, waleed told me will check with garage to check engine 
*
waleed told me that engine will cost us about 4500 dirhams, waiting mony 
*
after checking car new engine, they found water leak from engine 
engine will be for 46287
*
waleed found new engine with VIN: 1G1FB1RX9J0101302
car has about 60k km ,
*
engine replaced, car insurance has to make, after that we can test car on road, but engine has missfire 
engine still has 5 days to check by warranty 

engine replaced, waleed got new one with VIN number: 1G1FB1RX3L0110452 engine has about 35k km,

working on installing it on car 
garage got new oil pressure sensor to repalce 
*
engine is owrking well, car has electrical groundiung, 

car has problem with oil pressure sensor from ECU, waleed got new one, working on programming it 

they could not program ECU, 

wahat al forsan, checking car issue",
73317,"Z 96890","FORD ESCAPE - Grey - 2021 - Z 96890",1816,Change,2025-07-18,,2025-07-27,,,Garage,,"kasr al zaiton","Body Damage",,,,,,,,,"check engine light with turbo issue checking 
*
after checking car, car is need new turbo, waleed got new one 

after checking tubro, car has to get new turbo, waleed got it

need to change the another turbo
*
al tiqaneah, car going ot altiqaneah to check turbo issue\
waleed got new turbo, old one will be on garage i repair, oil and filter change, changed turbo oil pipe , but car has problem with shutter sensor 

waleed got new shutter with electrical motor

qsr al reton,  front bumper adjust repair",
73318,"F 21099","CHEVROLET CAMARO - Yellow Black - 2019 - F 21099",,IN,2025-07-27,,2025-07-27,2025-07-27,,Maintenance,,"AL Qattan Main W.Shop","Exhaust System Problems",,,,,,,,,"exhuast fix",
73319,"Q 44234","PATROL QX80 GREEN HAWK - Green - 2023 - Q 44234",1862,OUT,2025-07-27,,2025-07-27,,,Customer,,"ROAD FORCE","Suspension Troubles",,,,,,,,,"suspension check with alignment",
73320,"Q 44234","PATROL QX80 GREEN HAWK - Green - 2023 - Q 44234",1862,Change,2025-07-27,,2025-07-27,,,Customer,,"GPT GARRAGE","Rims scratch",,,,,,,,,"suspension check with alignment 

GPT, rims scratches, trunk lock fix ,and adjust",
73321,"C 40385","NISSAN PATROL - Black Tiffany - 2021 - C 40385",1824,Delay,2025-05-27,,2025-07-27,,,,,"AL TAKHASUS","Engine mechanical issue",,,,,,,,,"check engine light blinking, 
garage told us that car has engine issue, need to repalce engine, 
*
garage found low pressuer on cylender number 8, and the car need to change.
*
waleed told me that they will make decision today about checking for new engine or try to fix old one 
*
waleed told us that they are hecking for new engine on bying used one 
*
garage found new engine but will cost us about 18000
waleed found used engine with about 110 km 

waleed found new engine 

waleed found engine brand new, with about 19000, waiting finance approve",
73322,"P 45237","NISSAN PATROL - White - 2025 - P 45237",1885,Change,2025-06-28,,2025-07-28,,,Company,,"Najm ALAfaq garage",Accessories,,,,,,,,,"dashboard screen has issue 
they were waiting aprove from company to replace screen, now waiting new one from japan, asper abdullah it will take about one month to receive
still need about 20 days to revieve new screen 

in service thy told us that consol is broken not by theme, so car is out of warrenty 
*
najem al afaq garage to check car issue 

dashboard ECU checking 

al remal garage, cuz najem al afaq could not fix car 

ar is at the parking still has the same issue 

at najem al afaq to check screen issue",
73323,"K 20773","NISSAN PATROL - Brown - 2019 - K 20773",1835,"Follow up",2025-07-26,,2025-07-28,,,Customer,,"kasr al zaiton","Body Damage",,,,,,,,,"checked driver doo center lock but was working well

body scratches, rear bumper rims scratches body scratches, front lip, grill 

rear bumper with RR door paint , FL fender",
73324,"I 19131","MERCEDES C63S AMG - Black - 2018 - I 19131",1715,OUT,2025-07-28,,2025-07-28,,,Maintenance,,"GPT GARRAGE","Electrical Problems",,,,,,,,,"checking altenator with battery",
73325,"N 12281","RANGE ROVER - SPORT - White - 2021 - N 12281",1897,"Follow up",2025-07-24,,2025-07-28,,,Repeated,,RMR,"Check Engine Light",,,,,,,,,"check engine light checking 

addblue code erased",
73326,"G 43567","LAND ROVER DISCOVERY - Blue - 2022 - G 43567",1858,OUT,2025-07-28,,2025-07-28,,,Maintenance,,RMR,"AC issues",,,,,,,,,"checking ac issue not working well",
73327,"N 12281","RANGE ROVER - SPORT - White - 2021 - N 12281",1897,Change,2025-07-24,,2025-07-28,,,Customer,,"GPT GARRAGE","Rims scratch",,,,,,,,,"check engine light checking 

addblue code erased

GPT, 2rims scratches",
73328,"Q 44234","PATROL QX80 GREEN HAWK - Green - 2023 - Q 44234",1862,"Follow up",2025-07-27,,2025-07-28,,,Customer,,"GPT GARRAGE","Rims scratch",,,,,,,,,"suspension check with alignment 

GPT, rims scratches, trunk lock fix ,and adjust 

trunk fixed, now working on scratches 
interior boards paint",
73329,"N 12281","RANGE ROVER - SPORT - White - 2021 - N 12281",1897,IN,2025-07-24,,2025-07-28,2025-07-28,,Customer,,"GPT GARRAGE","Rims scratch",,,,,,,,,"check engine light checking 

addblue code erased

GPT, 2rims scratches",
73330,"V 63249","FORD MUSTANG Conv - Blue Orange - 2020 - V 63249",1776,OUT,2025-07-28,,2025-07-28,,,"periodic m & damage",,"GPT GARRAGE","Oil and Coolant Mixing",,,,,,,,,"oil and filter chagne, rim scratch, front lip scratches",
73331,"V 76188","JAGUAR F PACE - White - 2022 - V 76188",1829,OUT,2025-07-28,,2025-07-28,,,Staff,,"GPT GARRAGE","Body Damage",,,,,,,,,"rear left bumper damaged",
73332,"Z 96890","FORD ESCAPE - Grey - 2021 - Z 96890",1816,IN,2025-07-18,,2025-07-28,2025-07-28,,Garage,,"kasr al zaiton","Body Damage",,,,,,,,,"check engine light with turbo issue checking 
*
after checking car, car is need new turbo, waleed got new one 

after checking tubro, car has to get new turbo, waleed got it

need to change the another turbo
*
al tiqaneah, car going ot altiqaneah to check turbo issue\
waleed got new turbo, old one will be on garage i repair, oil and filter change, changed turbo oil pipe , but car has problem with shutter sensor 

waleed got new shutter with electrical motor

qsr al reton,  front bumper adjust repair",
73333,"AA 75886","NISSAN PATROL - Tiffany Black - 2020 - AA 75886",1857,Change,2025-07-28,,2025-07-28,,,Maintenance,,"GPT GARRAGE",Airbag,,,,,,,,,"airbag light check and clear",
73334,"N 3741","MERCEDES GLC 300 - Green - 2022 - N 3741",1864,Change,2025-07-28,,2025-07-28,2025-07-28,,Maintenance,,"Al Madwi Car Accessories",Accessories,,,,,,,,,"tint removing from windshield, trunk and front doors windows tinted",
73335,"X 94228","BMW X1 - Grey - 2021 - X 94228",1754,"Under Test",2025-07-23,,2025-07-28,,,Maintenance,,"Under Test",Testing,,,,,,,,,"car has alignment issue, after checking car has problem from boxsteering 

garage told us that they are checking for boxsteering 

waleed got new boxsteering 

boxsteering replaced, car is under test by waleed 
after tresting car has traction light on",
73336,"X 94228","BMW X1 - Grey - 2021 - X 94228",1754,Change,2025-07-23,,2025-07-28,,,Maintenance,,RMR,"Steering box issue",,,,,,,,,"car has alignment issue, after checking car has problem from boxsteering 

garage told us that they are checking for boxsteering 

waleed got new boxsteering 

boxsteering replaced, car is under test by waleed 
after tresting car has traction light on",
73337,"I 19131","MERCEDES C63S AMG - Black - 2018 - I 19131",1715,Change,2025-07-28,,2025-07-28,,,Repeated,,"AYAN GARAGE","Electrical Problems",,,,,,,,,"checking altenator with battery

checking electrical issue from new electrcal fan so well replace and check",
